order_id,user_id,eval_set,order_number,order_dow,order_hour_of_day,days_since_prior_order
3167222,29,prior,10,5,11,13
2865794,29,prior,11,5,09,7
1062536,29,prior,12,4,08,13
620971,29,prior,13,5,08,8
3090640,29,prior,14,1,13,17
3202175,29,prior,15,3,11,16
2376709,29,prior,16,1,11,12
1748639,29,prior,17,5,13,11
1647841,29,prior,18,5,11,14
3110252,29,train,19,4,11,13
375303,30,prior,1,1,13,NA
2156000,30,prior,2,1,10,7
3169631,30,prior,3,1,22,7
1645927,30,prior,4,2,13,22
986094,30,prior,5,2,11,30
2299885,30,prior,6,1,19,27
137318,30,prior,7,1,06,28
3333738,30,prior,8,1,08,30
62370,30,train,9,2,13,22
2150649,31,prior,1,5,11,NA
695934,31,prior,2,5,11,0
638062,31,prior,3,4,12,6
2135842,31,prior,4,3,13,6
2623412,31,prior,5,0,16,4
1183257,31,prior,6,0,16,7
1341128,31,prior,7,2,13,2
1120389,31,prior,8,0,11,5
3352995,31,prior,9,3,12,3
1593000,31,prior,10,3,08,7
2582407,31,prior,11,1,07,5
673583,31,prior,12,4,12,10
3035956,31,prior,13,3,11,6
2951746,31,prior,14,2,09,6
2258440,31,prior,15,1,08,6
2647083,31,prior,16,2,08,8
2231262,31,prior,17,3,11,8
963053,31,prior,18,3,11,0
813240,31,prior,19,0,17,4
1765409,31,prior,20,0,17,0
280888,31,test,21,4,09,18
134879,32,prior,1,3,12,NA
1275838,32,prior,2,3,12,30
1709286,32,prior,3,2,10,20
72626,32,prior,4,3,09,1
1210985,32,prior,5,1,23,30
3202221,32,test,6,1,13,30
2906103,33,prior,1,3,14,NA
2612991,33,prior,2,2,16,27
1537903,33,prior,3,1,19,30
3222866,33,test,4,6,17,19
2383661,34,prior,1,4,15,NA
1569834,34,prior,2,4,07,28
1916863,34,prior,3,4,14,21
1951139,34,prior,4,0,11,10
2344038,34,prior,5,0,15,21
698604,34,train,6,4,13,30
1269089,35,prior,1,5,21,NA
2562704,35,prior,2,3,16,26
1136841,35,prior,3,6,09,30
457048,35,prior,4,0,20,22
2880466,35,prior,5,5,16,30
1830981,35,prior,6,6,10,1
3309528,35,prior,7,3,18,4
1316279,35,prior,8,4,17,30
2903057,35,prior,9,4,16,28
707453,35,test,10,4,15,21
3285797,36,prior,1,4,17,NA
412111,36,prior,2,5,18,8
240889,36,prior,3,5,17,21
1602446,36,prior,4,1,11,10
2472897,36,prior,5,4,15,3
1626957,36,prior,6,5,15,15
453864,36,prior,7,6,14,15
2010389,36,prior,8,3,17,4
278124,36,prior,9,0,11,4
14400,36,prior,10,1,18,1
1145961,36,prior,11,5,19,4
746041,36,prior,12,0,16,9
682472,36,prior,13,6,15,20
3067639,36,prior,14,0,12,22
2640464,36,prior,15,5,17,12
479244,36,prior,16,3,21,5
409708,36,prior,17,0,15,11
423623,36,prior,18,4,17,18
664952,36,prior,19,0,08,3
2833188,36,prior,20,4,09,25
1185674,36,prior,21,0,09,3
2890966,36,prior,22,3,12,3
2671410,36,prior,23,4,17,22
1189699,36,prior,24,2,07,5
2138456,36,prior,25,4,10,9
669187,36,prior,26,3,18,6
1460684,36,prior,27,5,21,16
2795573,36,prior,28,0,11,16
1719560,36,prior,29,3,21,3
2693179,36,prior,30,3,21,0
903277,36,prior,31,6,12,10
2527665,36,prior,32,0,09,8
2230383,36,prior,33,3,19,3
793311,36,prior,34,6,11,10
1032510,36,prior,35,0,16,15
182125,36,prior,36,4,12,4
2710884,36,prior,37,4,12,7
1320132,36,test,38,0,08,3
327827,37,prior,1,2,10,NA
86313,37,prior,2,6,12,4
1354506,37,prior,3,0,01,8
2153671,37,prior,4,1,14,8
2449761,37,prior,5,2,14,8
484397,37,prior,6,5,17,10
2568429,37,prior,7,1,19,10
711999,37,prior,8,3,19,23
1145920,37,prior,9,6,14,17
1736749,37,prior,10,3,18,11
2484696,37,prior,11,4,11,8
712331,37,prior,12,6,22,30
1740853,37,prior,13,6,19,14
1394419,37,prior,14,5,14,20
1751600,37,prior,15,0,16,30
1854906,37,prior,16,5,17,5
1179244,37,prior,17,4,14,6
2615608,37,prior,18,5,17,15
2326295,37,prior,19,1,16,10
841710,37,prior,20,3,16,9
3268585,37,prior,21,2,13,13
1294288,37,prior,22,6,15,30
1727614,37,prior,23,5,16,6
1524161,37,train,24,0,13,16
2873174,38,prior,1,0,10,NA
1308004,38,prior,2,4,11,30
1588002,38,prior,3,0,11,17
1691300,38,prior,4,6,12,20
1244041,38,prior,5,0,14,22
718156,38,prior,6,6,09,13
894015,38,prior,7,6,10,28
795223,38,prior,8,6,18,28
3204829,38,prior,9,6,16,7
2980672,38,prior,10,5,08,27
725451,38,prior,11,0,00,9
2479273,38,prior,12,1,13,30
3173750,38,train,13,0,09,30
2782479,39,prior,1,0,12,NA
971516,39,prior,2,0,15,7
127769,39,prior,3,6,17,6
524816,39,prior,4,6,10,7
859009,39,prior,5,6,19,7
1493525,39,prior,6,0,12,15
2754717,39,prior,7,6,16,30
882556,39,test,8,6,13,7
2570028,40,prior,1,0,09,NA
2309440,40,prior,2,1,10,8
1469897,40,prior,3,6,11,12
2621404,40,prior,4,0,12,8
1132197,40,prior,5,6,09,20
2640967,40,prior,6,0,09,15
2215173,40,prior,7,0,08,21
423262,40,prior,8,0,10,7
1145465,40,prior,9,0,09,14
2431024,40,test,10,0,08,7
252244,41,prior,1,6,16,NA
2111787,41,prior,2,2,20,24
2838655,41,prior,3,0,13,30
2196695,41,prior,4,1,12,22
3083886,41,prior,5,0,19,27
2032076,41,train,6,0,20,30
940313,42,prior,1,2,10,NA
1816335,42,prior,2,1,15,6
19190,42,prior,3,1,19,7
77399,42,prior,4,1,09,7
2848715,42,prior,5,2,18,8
1560102,42,prior,6,1,19,13
232622,42,prior,7,3,13,9
378457,42,prior,8,0,10,11
521231,42,prior,9,3,19,24
2019391,42,prior,10,5,01,9
2315446,42,prior,11,3,18,19
2083588,42,prior,12,2,13,20
1602489,42,prior,13,4,12,9
2204386,42,prior,14,5,16,22
278626,42,prior,15,0,15,30
3034563,42,prior,16,0,13,14
2803975,42,train,17,0,11,14
606677,43,prior,1,1,18,NA
1530871,43,prior,2,4,19,24
656728,43,prior,3,4,11,7
634665,43,prior,4,3,18,6
2412774,43,prior,5,0,17,11
2580647,43,prior,6,4,16,4
1630444,43,prior,7,0,12,10
455561,43,prior,8,1,17,15
2187180,43,prior,9,4,12,3
3094389,43,prior,10,5,15,15
2770903,43,prior,11,0,12,9
1864787,43,train,12,5,11,26
1359969,44,prior,1,0,07,NA
462713,44,prior,2,1,09,30
2699868,44,prior,3,0,09,30
2436259,44,train,4,0,12,30
300892,45,prior,1,1,20,NA
784714,45,prior,2,6,19,12
374526,45,prior,3,3,20,18
1902833,45,prior,4,2,08,30
2827745,45,test,5,5,10,3
3345812,46,prior,1,1,16,NA
31801,46,prior,2,1,13,7
3102839,46,prior,3,1,16,0
2539168,46,prior,4,1,11,14
2518161,46,prior,5,1,17,30
1406544,46,prior,6,1,15,28
821110,46,prior,7,1,12,28
398975,46,prior,8,1,12,21
3198849,46,prior,9,1,16,14
1538381,46,prior,10,0,12,6
244623,46,prior,11,0,12,7
2998652,46,prior,12,0,16,14
1876837,46,prior,13,0,13,14
1945511,46,prior,14,0,14,14
2596585,46,prior,15,0,16,28
1254066,46,prior,16,0,15,21
2661433,46,prior,17,6,17,30
2681913,46,prior,18,0,09,22
2009771,46,prior,19,0,16,21
1947848,46,train,20,4,20,11
2857489,47,prior,1,5,16,NA
1303645,47,prior,2,6,15,1
2532123,47,prior,3,4,13,5
2201188,47,prior,4,2,10,12
1899315,47,prior,5,2,22,14
2906490,47,train,6,4,22,16
1035233,48,prior,1,6,16,NA
3166874,48,prior,2,5,13,27
2766710,48,prior,3,6,09,15
501067,48,prior,4,5,12,27
1643524,48,prior,5,6,10,29
1657641,48,prior,6,5,09,27
749250,48,prior,7,6,11,29
795269,48,prior,8,6,11,14
3067391,48,prior,9,5,18,13
555834,48,prior,10,5,22,14
2924697,48,train,11,5,18,14
1216869,49,prior,1,2,09,NA
2406693,49,prior,2,6,19,30
3283823,49,prior,3,5,14,30
1526098,49,prior,4,3,16,30
1557694,49,prior,5,1,12,19
379097,49,prior,6,1,11,30
500437,49,prior,7,2,15,30
1250641,49,prior,8,2,11,28
519514,49,train,9,4,12,2
1363380,50,prior,1,3,09,NA
3131103,50,prior,2,6,12,10
2197066,50,prior,3,1,13,9
3201640,50,prior,4,0,11,6
2756806,50,prior,5,4,14,11
1905727,50,prior,6,2,10,5
357849,50,prior,7,3,13,8
1673791,50,prior,8,6,14,3
1941871,50,prior,9,4,11,5
1431607,50,prior,10,2,10,5
935755,50,prior,11,6,09,4
771250,50,prior,12,3,18,4
218647,50,prior,13,6,14,10
482971,50,prior,14,4,11,5
1261865,50,prior,15,2,10,5
2102570,50,prior,16,1,08,13
1856643,50,prior,17,2,15,8
2199859,50,prior,18,1,10,6
505360,50,prior,19,3,11,2
2829245,50,prior,20,1,10,5
1077695,50,prior,21,1,13,14
3067010,50,prior,22,1,12,7
458687,50,prior,23,6,17,5
536094,50,prior,24,3,10,4
886814,50,prior,25,2,11,6
1291785,50,prior,26,1,13,6
1182191,50,prior,27,5,07,11
2333885,50,prior,28,2,10,4
3112215,50,prior,29,3,11,1
3276486,50,prior,30,3,12,7
2870447,50,prior,31,2,11,6
623555,50,prior,32,2,12,7
2443843,50,prior,33,5,07,10
867561,50,prior,34,0,22,2
2049647,50,prior,35,4,11,4
2981401,50,prior,36,1,11,4
2425696,50,prior,37,4,15,3
1177903,50,prior,38,1,07,4
2885215,50,prior,39,6,10,5
3285176,50,prior,40,3,09,4
1158241,50,prior,41,0,16,4
131991,50,prior,42,2,10,2
1237400,50,prior,43,6,09,4
3014513,50,prior,44,2,11,3
1368931,50,prior,45,1,12,6
1076291,50,prior,46,3,07,2
412136,50,prior,47,2,11,6
1939933,50,prior,48,0,10,5
3147929,50,prior,49,5,08,5
2018336,50,prior,50,1,11,3
1229178,50,prior,51,5,10,11
3044151,50,prior,52,1,09,3
3330597,50,prior,53,3,11,2
642111,50,prior,54,6,10,3
3205359,50,prior,55,1,10,2
182020,50,prior,56,0,13,6
636918,50,prior,57,5,12,5
2670599,50,prior,58,3,10,5
2236363,50,prior,59,1,11,5
2757345,50,prior,60,2,12,1
1915162,50,prior,61,5,11,3
373535,50,prior,62,2,11,4
3175017,50,prior,63,6,10,4
309687,50,prior,64,2,12,10
2740653,50,prior,65,1,13,6
2107003,50,prior,66,4,11,3
103726,50,prior,67,3,09,6
1750084,50,train,68,3,09,7
1099991,51,prior,1,3,14,NA
1505429,51,prior,2,2,14,13
2151817,51,prior,3,5,14,17
2174416,51,test,4,0,14,16
2497897,52,prior,1,1,09,NA
1318871,52,prior,2,1,10,7
1261384,52,prior,3,1,10,7
2100631,52,prior,4,1,11,7
580568,52,prior,5,2,10,8
1680554,52,prior,6,1,13,6
2428073,52,prior,7,2,07,8
1551977,52,prior,8,1,10,6
342306,52,prior,9,1,11,7
1520353,52,prior,10,2,10,8
2542086,52,prior,11,2,09,7
944694,52,prior,12,1,16,6
2906390,52,prior,13,1,10,7
1838593,52,prior,14,1,13,7
1268191,52,prior,15,2,11,8
2331002,52,prior,16,3,11,8
1122089,52,prior,17,2,10,6
1498922,52,prior,18,2,10,14
180919,52,prior,19,3,08,8
3146572,52,prior,20,1,13,5
2695875,52,prior,21,5,10,30
1307894,52,prior,22,1,09,10
1856103,52,prior,23,1,13,7
1030102,52,prior,24,2,09,8
3306717,52,prior,25,1,10,13
2127348,52,prior,26,5,13,18
1588305,52,prior,27,1,08,10
1647290,52,train,28,4,16,3
3364570,53,prior,1,5,19,NA
2239092,53,prior,2,1,17,17
227361,53,prior,3,3,15,16
3088145,53,train,4,2,10,13
79015,54,prior,1,2,19,NA
1546110,54,prior,2,0,22,5
3337837,54,prior,3,4,18,11
2548338,54,prior,4,1,19,4
1514655,54,prior,5,6,16,5
142873,54,prior,6,1,07,9
2008078,54,prior,7,6,13,5
631226,54,prior,8,5,16,13
3121842,54,prior,9,4,10,20
2205320,54,prior,10,2,09,5
862838,54,prior,11,4,12,2
881725,54,prior,12,5,09,8
939629,54,prior,13,0,11,2
638726,54,prior,14,0,11,7
1182951,54,prior,15,5,12,12
378070,54,prior,16,1,12,3
1376661,54,prior,17,6,13,12
3084020,54,prior,18,1,11,9
2326857,54,prior,19,6,11,12
905479,54,prior,20,3,10,4
1321441,54,prior,21,4,00,1
640014,54,prior,22,6,10,2
2983519,54,prior,23,5,14,13
311292,54,prior,24,6,12,1
2917598,54,prior,25,6,12,7
2045952,54,prior,26,0,11,1
2916715,54,prior,27,3,00,3
3135095,54,prior,28,4,16,1
51418,54,prior,29,4,23,0
2143390,54,prior,30,3,11,6
3167855,54,prior,31,4,10,1
1339168,54,prior,32,6,11,2
1630627,54,prior,33,1,01,2
2413026,54,prior,34,0,09,13
2648531,54,prior,35,1,11,1
3184864,54,prior,36,5,10,4
3249202,54,prior,37,6,12,1
3336359,54,prior,38,6,14,7
3066373,54,prior,39,6,20,0
1840067,54,prior,40,3,20,4
1893574,54,prior,41,6,09,3
2861721,54,prior,42,1,09,2
159678,54,prior,43,4,08,3
3270096,54,prior,44,3,19,6
2960216,54,prior,45,4,18,1
2058687,54,prior,46,2,15,5
3290450,54,prior,47,0,22,5
1902195,54,prior,48,4,09,4
